0.4	0	0
0.398002	0.0399334	0.0499992
0.392027	0.0794677	0.0999933
0.382135	0.118208	0.149978
0.368424	0.155767	0.199947
0.351033	0.19177	0.249896
0.330134	0.225857	0.29982
0.305937	0.257687	0.349714
0.278683	0.286942	0.399573
0.248644	0.313331	0.449393
0.216121	0.336588	0.499167
0.181438	0.356483	0.548892
0.144943	0.372816	0.598561
0.107	0.385423	0.648171
0.0679869	0.39418	0.697716
0.0282949	0.398998	0.747191
-0.0116798	0.399829	0.796591
-0.0515378	0.396666	0.845912
-0.0908808	0.389539	0.895148
-0.129316	0.37852	0.944294
-0.166459	0.363719	0.993347
-0.201938	0.345284	1.0423
-0.2354	0.323399	1.09115
-0.26651	0.298282	1.13989
-0.294957	0.270185	1.18851
-0.320457	0.239389	1.23702
-0.342756	0.206201	1.2854
-0.361629	0.170952	1.33366
-0.376889	0.133995	1.38178
-0.388383	0.0956997	1.42976
-0.395997	0.056448	1.4776
-0.399654	0.0166323	1.52529
-0.399318	-0.0233497	1.57283
-0.394992	-0.0630983	1.62022
-0.386719	-0.102216	1.66744
-0.374583	-0.140313	1.71449
-0.358703	-0.177008	1.76137
-0.33924	-0.211934	1.80808
-0.316387	-0.244743	1.8546
-0.290373	-0.275106	1.90094
-0.261457	-0.302721	1.94709
-0.22993	-0.327311	1.99305
-0.196104	-0.34863	2.0388
-0.16032	-0.366466	2.08435
-0.122933	-0.380641	2.1297
-0.0843183	-0.391012	2.17483
-0.044861	-0.397476	2.21974
-0.00495547	-0.399969	2.26443
0.0349996	-0.398466	2.3089
0.0746049	-0.392981	2.35313
0.113465	-0.38357	2.39713
0.151191	-0.370326	2.44089
0.187407	-0.353382	2.4844
0.22175	-0.332907	2.52767
0.253877	-0.309106	2.57068
0.283468	-0.282216	2.61344
0.310226	-0.252507	2.65593
0.333885	-0.220274	2.69816
0.354208	-0.185841	2.74012
0.370991	-0.149551	2.78181
0.384068	-0.111766	2.82321
0.393307	-0.072865	2.86434
0.398617	-0.0332358	2.90518
0.399943	0.00672556	2.94572
0.397274	0.0466197	2.98598
0.390635	0.086048	3.02593
0.380093	0.124617	3.06558
0.365753	0.16194	3.10493
0.347759	0.197645	3.14397
0.32629	0.231376	3.18269
0.301561	0.262795	3.22109
0.273819	0.291588	3.25917
0.243341	0.317467	3.29692
0.210431	0.340175	3.33435
0.175419	0.359483	3.37144
0.138654	0.3752	3.40819
0.100504	0.387168	3.44461
0.0613495	0.395267	3.48068
0.0215822	0.399417	3.5164
-0.0184009	0.399577	3.55177
-0.0582	0.395743	3.58678
-0.0974177	0.387956	3.62144
-0.135662	0.376292	3.65573
-0.172551	0.360869	3.68966
-0.207715	0.34184	3.72322
-0.240805	0.319395	3.7564
-0.271488	0.293759	3.78921
-0.299459	0.265188	3.82164
-0.324437	0.233967	3.85369
-0.346174	0.200408	3.88536
-0.364452	0.164847	3.91663
-0.379089	0.127639	3.94752
-0.389937	0.089156	3.97801
-0.39689	0.0497818	4.0081
-0.399877	0.00991017	4.03779
